rank,name,location,median_SAT_ACT_score,est_price_2018_19_without_aid,est_price_2018-19_with_avg._grant,percent_with_need_who_get_grants,ave_student_debt,early_career_earnings
1,Princeton University,"Princeton, NJ",1500/34,67700,19000,100%,7500,69800
2,University of California-San Diego,"La Jolla, CA",1310/30,32900,15900,95%,18500,58600
3,University of California-Irvine,"Irvine, CA",1200/27,34700,14800,96%,17000,54900
4,University of California-Los Angeles,"Los Angeles, CA",1320/31,34700,15300,96%,16300,57500
5,Stanford University,"Stanford, CA",1480/33,70800,17900,98%,12500,73300
6,Massachusetts Institute of Technology,"Cambridge, MA",1530/34,69000,23200,96%,17300,81500
7,University of California-Berkeley,"Berkeley, CA",1410/33,37900,18400,99%,14200,65400
8,CUNY Bernard M Baruch College,"New York, NY",1240/NA,32500,10200,89%,10800,54500
9,University of Michigan-Ann Arbor,"Ann Arbor, MI",1410/31,30200,17300,82%,20100,59300
10,University of Virginia-Main Campus,"Charlottesville, VA",1350/31,33000,17100,84%,19500,59500
11,University of California-Davis,"Davis, CA",1190/28,36600,17200,96%,14700,56700
12,California Institute of Technology,"Pasadena, CA",1560/35,70600,28800,100%,14400,78800
13,Rice University,"Houston, TX",1490/34,64700,23700,98%,10200,65700
14,University of Pennsylvania,"Philadelphia, PA",1480/34,73400,24600,99%,20600,68100
15,Yale University,"New Haven, CT",1510/34,73000,19700,100%,13500,66800
16,Harvard University,"Cambridge, MA",1520/34,71300,17400,100%,6500,69200
17,Texas A & M University-College Station,"College Station, TX",1190/27,29200,16600,82%,18800,57200
18,Vanderbilt University,"Nashville, TN",1510/34,69000,24900,92%,14000,61100
19,Georgia Institute of Technology-Main Campus,"Atlanta, GA",1410/32,29500,14300,87%,24000,68100
19,University of Washington-Seattle Campus,"Seattle, WA",1250/29,27200,10800,77%,15000,57300
21,Massachusetts Maritime Academy,"Buzzards Bay, MA",1050/23,26300,15100,71%,27000,63100
22,California State University-Long Beach,"Long Beach, CA",1050/23,24600,10600,80%,15000,49200
23,University of Florida,"Gainesville, FL",1280/29,21600,15800,65%,15800,52200
24,Washington and Lee University,"Lexington, VA",1390/32,67500,25600,100%,21500,59700
25,University of Illinois at Urbana-Champaign,"Champaign, IL",1380/29,30800,17900,64%,20500,58600
26,SUNY at Binghamton,"Vestal, NY",1320/30,26700,17800,83%,19500,56400
27,The University of Texas at Austin,"Austin, TX",1280/29,26100,17200,80%,22300,56900
28,University of Maryland-College Park,"College Park, MD",1320/31,27100,16900,78%,19500,57600
29,Virginia Polytechnic Institute and State University,"Blacksburg, VA",1210/NA,26900,18500,71%,24000,58600
30,University of Notre Dame,"Notre Dame, IN",1450/34,71100,28700,97%,21500,62500
31,North Carolina State University at Raleigh,"Raleigh, NC",1260/29,24300,14000,90%,20800,53800
32,University of California-Riverside,"Riverside, CA",1070/24,35500,13800,96%,19100,51600
33,Duke University,"Durham, NC",1480/33,73500,21400,96%,7500,65300
34,Stony Brook University,"Stony Brook, NY",1260/29,26100,14600,84%,19000,54300
35,The College of New Jersey,"Ewing, NJ",1200/28,35300,24100,39%,23300,54400
36,Williams College,"Williamstown, MA",1440/33,72300,19500,100%,14600,62000
37,University of Chicago,"Chicago, IL",1530/34,77600,33400,98%,14500,58100
38,University of California-Santa Barbara,"Santa Barbara, CA",1260/30,37000,16300,93%,16500,54900
39,James Madison University,"Harrisonburg, VA",1130/25,26700,17500,51%,20900,53400
40,Purdue University-Main Campus,"West Lafayette, IN",1200/28,23400,12600,64%,21500,58000
41,Michigan State University,"East Lansing, MI",1130/27,29200,16100,74%,25500,51800
42,College of the Holy Cross,"Worcester, MA",1290/29,67800,29000,82%,27500,56000
42,Swarthmore College,"Swarthmore, PA",1420/32,70500,21100,100%,19500,60000
44,Dartmouth College,"Hanover, NH",1460/32,73600,22700,96%,13500,66300
45,California State University-Dominguez Hills,"Carson, CA",850/17,22900,3500,86%,14000,46200
46,Georgetown University,"Washington, DC",1420/32,73300,28600,88%,15500,61400
47,California State Polytechnic University-Pomona,"Pomona, CA",1030/24,26700,13500,79%,19000,53600
48,University of Wisconsin-Madison,"Madison, WI",1310/29,26300,17000,77%,22300,53400
49,California State University-Stanislaus,"Turlock, CA",910/19,21000,8100,87%,15000,47000
50,University of Connecticut,"Storrs, CT",1230/29,31800,20500,72%,21500,55400
51,California State University-Los Angeles,"Los Angeles, CA",880/18,25400,4200,95%,12900,47100
52,Bates College,"Lewiston, ME",NA/NA,70500,25800,100%,14500,55800
53,Union College,"Schenectady, NY",NA/NA,70300,41500,94%,27000,58500
54,Barnard College,"New York, NY",1370/31,73000,24500,99%,17800,53500
55,Colgate University,"Hamilton, NY",1380/32,71500,24100,99%,16100,61400
56,Columbia University in the City of New York,"New York, NY",1500/34,76000,24700,99%,21500,66000
57,College of William and Mary,"Williamsburg, VA",1360/31,38300,18000,86%,19500,54400
58,University of North Carolina at Chapel Hill,"Chapel Hill, NC",1320/31,26200,10800,88%,16500,51200
59,Brown University,"Providence, RI",1470/33,72800,27100,94%,15000,63000
60,Boston College,"Chestnut Hill, MA",1360/32,72300,29200,88%,19000,59200
61,San Jose State University,"San Jose, CA",1040/23,28800,14800,93%,15000,58500
62,California State University-Chico,"Chico, CA",990/22,25000,14700,78%,17000,52700
63,Virginia Military Institute,"Lexington, VA",1150/26,31300,17400,81%,25000,62200
64,California Polytechnic State University-San Luis Obispo,"San Luis Obispo, CA",1260/29,27800,19900,88%,18700,61100
65,Rutgers University-New Brunswick,"New Brunswick, NJ",1230/NA,32300,16800,70%,22200,55800
66,California State University-Fresno,"Fresno, CA",910/19,20900,6600,88%,15000,47800
67,California State University-San Bernardino,"San Bernardino, CA",880/18,24800,6900,89%,16500,45500
68,University of Delaware,"Newark, DE",1170/26,28500,17100,83%,24200,54300
69,Babson College,"Wellesley, MA",1270/29,70100,29500,95%,26000,66600
70,Amherst College,"Amherst, MA",1460/33,73000,20500,100%,13000,60200
71,Pomona College,"Claremont, CA",1440/33,71400,19500,100%,11000,57500
72,Clemson University,"Clemson, SC",1250/29,30300,19100,82%,21500,54300
73,Davidson College,"Davidson, NC",1350/31,68300,30000,98%,17000,53100
74,Haverford College,"Haverford, PA",1420/33,73300,22700,100%,13000,54700
75,SUNY College of Environmental Science and Forestry,"Syracuse, NY",1170/25,28000,19400,99%,19800,49700
76,Hamilton College,"Clinton, NY",1390/32,69300,26200,100%,15800,58600
77,University of Minnesota-Twin Cities,"Minneapolis, MN",1320/29,28100,17400,84%,20200,53400
78,Bowdoin College,"Brunswick, ME",NA/NA,69700,26700,100%,18800,55500
79,San Diego State University,"San Diego, CA",1110/26,28900,15400,80%,15300,51100
80,Saint Johns University,"Collegeville, MN",1040/25,57200,27500,98%,27000,54700
81,CUNY Queens College,"Queens, NY",1090/NA,29000,9300,86%,11000,48700
82,Lafayette College,"Easton, PA",1300/29,70300,28100,94%,26000,61500
83,Vassar College,"Poughkeepsie, NY",1420/32,72100,23600,99%,15800,52100
84,California State University-Fullerton,"Fullerton, CA",1020/22,28000,8800,76%,15000,47400
85,Bentley University,"Waltham, MA",1180/28,67800,38200,98%,26500,62000
86,Northwestern University,"Evanston, IL",1480/33,74700,31500,98%,19400,59500
87,University of Massachusetts-Amherst,"Amherst, MA",1230/28,30800,21600,87%,24000,53500
88,Iowa State University,"Ames, IA",1130/25,21100,14600,97%,23900,52700
89,California State University-Northridge,"Northridge, CA",920/20,22700,7100,85%,14200,47900
90,Wellesley College,"Wellesley, MA",1410/32,70700,21500,97%,8900,53800
91,Wake Forest University,"Winston-Salem, NC",NA/NA,70800,25600,96%,23000,56000
92,Cornell University,"Ithaca, NY",1430/33,72000,32200,98%,12000,65600
92,College of Saint Benedict,"Saint Joseph, MN",1010/25,58200,28800,96%,26300,46300
94,Indiana University-Bloomington,"Bloomington, IN",1180/27,25000,13600,80%,22500,50300
94,University of Georgia,"Athens, GA",1240/29,27000,16100,92%,19100,50200
96,University of California-Santa Cruz,"Santa Cruz, CA",1180/28,36900,17500,93%,20000,53500
97,Citadel Military College of South Carolina,"Charleston, SC",1060/23,29400,19800,79%,23800,56100
97,George Mason University,"Fairfax, VA",1160/27,29900,19400,78%,19800,55100
99,DePauw University,"Greencastle, IN",1160/27,64100,33100,100%,25600,52300
100,University of New Hampshire-Main Campus,"Durham, NH",1100/25,33800,24800,71%,27000,50600
101,Tufts University,"Medford, MA",1450/33,72300,30100,93%,18000,60400
102,Brigham Young University-Provo,"Provo, UT",1270/29,18800,13800,80%,11000,55400
103,Santa Clara University,"Santa Clara, CA",1300/30,71100,40400,71%,21500,63800
104,University of Richmond,"Richmond, VA",1320/31,66400,24100,98%,21100,55400
105,Johns Hopkins University,"Baltimore, MD",1490/33,71500,29400,92%,15000,63200
106,Claremont McKenna College,"Claremont, CA",1410/32,73500,32800,98%,15000,63500
106,SUNY at Albany,"Albany, NY",1080/24,26300,16200,83%,21100,49300
108,University of Illinois at Chicago,"Chicago, IL",1110/24,31400,12400,81%,18800,52800
109,CUNY John Jay College of Criminal Justice,"New York, NY",980/NA,34700,9200,78%,10000,43100
110,Simmons College,"Boston, MA",1170/27,59600,32000,100%,26000,51300
111,Wesleyan University,"Middletown, CT",NA/NA,71600,22000,93%,17500,55900
112,Michigan Technological University,"Houghton, MI",1200/28,29800,17500,79%,26900,63000
113,University of Southern California,"Los Angeles, CA",1390/32,73900,35400,91%,22400,59400
113,Ramapo College of New Jersey,"Mahwah, NJ",1080/24,31600,16800,48%,22800,48100
115,Arizona State University-Tempe,"Tempe, AZ",1150/25,28200,14000,93%,20300,51400
115,University of Portland,"Portland, OR",1190/NA,60700,34100,78%,24300,55100
117,Lehigh University,"Bethlehem, PA",1330/31,67500,29500,98%,24300,65400
117,SUNY Cortland,"Cortland, NY",1070/24,25500,18700,72%,21500,43400
119,Cooper Union for the Advancement of Science and Art,"New York, NY",1420/31,66600,37300,100%,16700,63900
120,Ohio State University-Main Campus,"Columbus, OH",1290/29,27700,19300,85%,21500,51900
121,California State University Maritime Academy,"Vallejo, CA",NA/NA,28800,15700,100%,25500,64600
122,Florida State University,"Tallahassee, FL",1200/27,22300,17700,77%,20800,47000
123,Northeastern University,"Boston, MA",1420/33,69800,32200,91%,27900,58300
124,Franklin and Marshall College,"Lancaster, PA",NA/NA,72100,24900,100%,22000,53700
125,Bucknell University,"Lewisburg, PA",1290/30,71800,36900,95%,27000,62300
126,CUNY Hunter College,"New York, NY",1160/NA,22600,11000,86%,11500,48700
127,Illinois State University,"Normal, IL",NA/24,29600,19800,62%,22000,47900
128,Emory University,"Atlanta, GA",1400/32,68600,26600,94%,17200,56700
129,Washington University in St Louis,"Saint Louis, MO",1490/33,73700,30900,97%,19900,60100
130,Colby College,"Waterville, ME",1370/32,70200,22600,100%,19300,55200
131,CUNY Lehman College,"Bronx, NY",1000/NA,27800,6600,90%,10200,45300
132,Harvey Mudd College,"Claremont, CA",1500/34,76200,38100,95%,25500,81000
133,St Lawrence University,"Canton, NY",NA/NA,69900,33900,100%,27000,52000
134,Maine Maritime Academy,"Castine, ME",1040/23,27900,20600,72%,27000,63300
135,University of Vermont,"Burlington, VT",1200/28,34100,19100,93%,22300,49500
136,University of Iowa,"Iowa City, IA",1170/26,23100,15200,73%,21600,50700
136,University at Buffalo,"Buffalo, NY",1170/27,26800,17200,76%,19500,50200
138,College of the Ozarks,"Point Lookout, MO",1090/23,30200,14300,100%,NA,38300
139,Molloy College,"Rockville Centre, NY",1080/24,51600,29900,93%,27000,57100
140,Colorado School of Mines,"Golden, CO",1340/31,34500,26900,56%,26000,71900
141,College of Mount Saint Vincent,"Bronx, NY",880/20,51200,18500,94%,27000,48000
142,Siena College,"Loudonville, NY",NA/NA,55100,28800,100%,27000,50200
143,Trinity University,"San Antonio, TX",1270/29,58200,30700,98%,25500,51100
144,CUNY Brooklyn College,"Brooklyn, NY",1110/NA,22700,10500,82%,10400,48200
145,Gustavus Adolphus College,"Saint Peter, MN",NA/NA,57100,26100,99%,27000,48200
146,Gettysburg College,"Gettysburg, PA",NA/NA,68300,37200,95%,22000,52600
147,Towson University,"Towson, MD",1070/23,26900,16700,62%,17800,48200
148,Wabash College,"Crawfordsville, IN",1130/26,55900,26000,99%,25000,58900
149,Washington State University,"Pullman, WA",1050/23,27900,19100,86%,20400,52400
150,Wheaton College,"Wheaton, IL",1290/30,48800,29900,99%,22500,49600
150,California State University-Sacramento,"Sacramento, CA",940/20,26400,9800,95%,15800,50900
152,St Olaf College,"Northfield, MN",1260/29,59700,29300,100%,27000,49000
153,Villanova University,"Villanova, PA",1320/31,69900,35700,91%,26500,61400
153,Stevens Institute of Technology,"Hoboken, NJ",1350/31,68800,39900,99%,28300,70800
155,Carnegie Mellon University,"Pittsburgh, PA",1470/33,71800,37800,95%,26300,70900
156,Middlebury College,"Middlebury, VT",1390/32,71100,23000,98%,15900,56300
157,Syracuse University,"Syracuse, NY",1190/27,67100,34200,92%,27000,53900
158,The College of Saint Scholastica,"Duluth, MN",1010/24,50300,24800,74%,21200,48300
158,Worcester Polytechnic Institute,"Worcester, MA",NA/NA,66600,43700,97%,27000,69200
160,Fairfield University,"Fairfield, CT",NA/NA,65900,41400,85%,27000,57100
161,Bethel University,"Saint Paul, MN",1130/25,51600,29200,100%,24400,47800
162,McDaniel College,"Westminster, MD",1100/25,57200,25000,100%,27000,48700
162,Saint Mary's College,"Notre Dame, IN",1070/25,56500,27900,100%,27000,47100
164,Montclair State University,"Montclair, NJ",NA/NA,31100,16200,63%,23000,47400
165,Art Center College of Design,"Pasadena, CA",NA/NA,61000,47000,NA,31300,59200
166,Marquette University,"Milwaukee, WI",1160/27,56600,36000,98%,27000,54300
167,Temple University,"Philadelphia, PA",NA/NA,33200,22800,84%,26000,48800
168,St Catherine University,"Saint Paul, MN",1080/22,51900,24200,76%,28000,47500
169,California State University-East Bay,"Hayward, CA",NA/NA,25700,11600,94%,16300,53900
170,Assumption College,"Worcester, MA",NA/NA,55900,31600,100%,27000,50700
171,SUNY College at Brockport,"Brockport, NY",1020/23,24700,15300,81%,20800,43200
172,Providence College,"Providence, RI",1140/26,66500,37800,98%,27000,54700
173,Lake Forest College,"Lake Forest, IL",NA/NA,60100,26300,NA,27000,51000
174,Holy Family University,"Philadelphia, PA",930/NA,48000,16800,94%,27000,48300
174,Martin Luther College,"New Ulm, MN",1230/24,26200,19600,98%,23100,34700
176,Touro College,"New York, NY",NA/NA,36000,20300,95%,12500,55700
177,Case Western Reserve University,"Cleveland, OH",1390/32,67000,35600,97%,24100,62400
178,Brandeis University,"Waltham, MA",1380/31,72600,34500,94%,27000,55300
179,MCPHS University,"Boston, MA",1070/24,54600,40200,93%,27000,61700
180,University of Wisconsin-Eau Claire,"Eau Claire, WI",NA/24,20600,15200,82%,23300,49100
181,University of Northern Iowa,"Cedar Falls, IA",1050/23,21800,15900,56%,20600,44900
182,Rowan University,"Glassboro, NJ",1130/25,31800,19400,55%,20000,48400
182,University of Rochester,"Rochester, NY",NA/NA,71800,36700,100%,24500,57500
184,Westfield State University,"Westfield, MA",990/22,24700,16700,69%,22800,44200
185,Boston University,"Boston, MA",1320/30,72000,33900,99%,27000,56100
186,Occidental College,"Los Angeles, CA",1310/30,73500,34300,99%,23700,51800
187,Merrimack College,"North Andover, MA",NA/NA,59300,35400,99%,27000,51900
188,St. Thomas Aquinas College,"Sparkill, NY",940/20,48800,22400,92%,22500,46800
189,University of St Francis,"Joliet, IL",1010/23,45700,19300,99%,25000,48000
190,University of Minnesota-Crookston,"Crookston, MN",950/22,24400,14400,91%,20500,46500
191,University of Scranton,"Scranton, PA",1130/26,62600,36200,95%,27000,52000
192,Dickinson College,"Carlisle, PA",NA/NA,70700,36900,98%,21000,52400
193,College of Saint Elizabeth,"Morristown, NJ",820/19,53300,19400,NA,25000,46900
194,Clarkson University,"Potsdam, NY",1180/27,67700,33500,99%,27000,64200
195,University of St Thomas,"Saint Paul, MN",1170/27,56000,33100,98%,26000,53400
196,Dordt College,"Sioux Center, IA",1060/25,44900,25900,100%,23000,47200
197,John Carroll University,"University Heights, OH",1100/25,57200,29200,98%,26900,47900
198,New York University,"New York, NY",1370/31,73500,37700,88%,23300,58700
199,Missouri University of Science and Technology,"Rolla, MO",1280/28,22500,14900,92%,24600,65200
199,New Jersey Institute of Technology,"Newark, NJ",1210/26,37400,16500,96%,23000,60800
201,College of Our Lady of the Elms,"Chicopee, MA",950/21,52000,25600,96%,25000,46700
201,Salisbury University,"Salisbury, MD",NA/NA,25700,19000,78%,20200,47600
203,University of Utah,"Salt Lake City, UT",1180/24,24200,12200,82%,15000,51100
204,University of South Florida-Main Campus,"Tampa, FL",1160/26,21900,12200,84%,19100,46400
205,Berea College,"Berea, KY",1110/25,36200,3100,100%,5800,39200
206,Florida International University,"Miami, FL",1120/25,24300,13900,79%,17200,46200
207,Western Washington University,"Bellingham, WA",1110/26,24100,17400,77%,19400,50600
208,University of Wisconsin-La Crosse,"La Crosse, WI",NA/25,17800,14200,63%,23300,46200
209,Fresno Pacific University,"Fresno, CA",960/21,44100,19600,77%,21500,42400
210,SUNY College at Geneseo,"Geneseo, NY",1200/27,25700,18600,79%,20900,47800
210,University of La Verne,"La Verne, CA",1030/23,61300,23900,66%,25000,47200
212,St. Mary's University,"San Antonio, TX",1040/22,45600,18100,98%,27000,47800
213,California State University-Bakersfield,"Bakersfield, CA",NA/NA,26600,6600,90%,13200,47700
214,Kenyon College,"Gambier, OH",1340/31,70800,30300,99%,19000,51700
215,Pepperdine University,"Malibu, CA",1220/29,72600,42600,98%,26000,53100
216,Indiana Wesleyan University-Marion,"Marion, IN",1050/24,38700,21000,83%,24100,45200
217,The University of Texas at Dallas,"Richardson, TX",1260/28,28000,11000,89%,18800,53600
218,Stockton University,"Galloway, NJ",1060/22,31000,15400,59%,21100,44500
219,Mount Saint Mary's University,"Los Angeles, CA",920/20,60800,29100,80%,25000,51400
220,Denison University,"Granville, OH",1290/30,66500,34400,100%,26000,51000
221,Le Moyne College,"Syracuse, NY",1110/25,51200,25100,100%,26200,47300
222,University of Dayton,"Dayton, OH",1130/27,59100,36500,99%,26000,53700
223,University of San Francisco,"San Francisco, CA",1140/26,67600,37600,84%,25000,56800
224,University of Oklahoma-Norman Campus,"Norman, OK",1200/26,29100,19300,57%,20000,51900
225,Duquesne University,"Pittsburgh, PA",1140/27,53400,31100,97%,27000,49600
226,San Francisco State University,"San Francisco, CA",980/21,27400,14200,89%,17300,52900
227,North Dakota State University-Main Campus,"Fargo, ND",1150/24,22000,15700,58%,23300,51400
228,Dominican University of California,"San Rafael, CA",1020/23,66000,36900,100%,27000,51900
229,Rensselaer Polytechnic Institute,"Troy, NY",1380/30,71800,40200,100%,27500,67500
229,Skidmore College,"Saratoga Springs, NY",1230/28,71100,25700,100%,19500,51200
231,Illinois Institute of Technology,"Chicago, IL",1250/29,65300,27800,99%,27000,60600
232,Endicott College,"Beverly, MA",NA/NA,51500,37100,82%,27000,47600
233,University of Wisconsin-Platteville,"Platteville, WI",NA/24,19400,15400,59%,24300,53600
233,University of Evansville,"Evansville, IN",1110/26,52100,23700,100%,27000,48000
235,Canisius College,"Buffalo, NY",1080/25,53400,22300,99%,24800,43800
236,SUNY Maritime College,"Throggs Neck, NY",1120/25,25900,17500,68%,26500,71600
237,Grinnell College,"Grinnell, IA",1430/32,67800,32200,100%,13200,48800
237,Taylor University,"Upland, IN",1100/26,46400,27300,100%,24000,44900
