rank,name,location,median_SAT_ACT_score,est_price_2018_19_without_aid,est_price_2018-19_with_avg._grant,percent_with_need_who_get_grants,ave_student_debt,early_career_earnings
482,Iona College,"New Rochelle, NY",1000/23,57200,29000,41%,26000,52000
484,MidAmerica Nazarene University,"Olathe, KS",890/22,43100,19800,96%,18800,45700
484,Texas State University,"San Marcos, TX",1030/23,23200,13600,81%,21300,46900
486,Ball State University,"Muncie, IN",1080/22,24900,14400,59%,25000,43100
487,Unity College,"Unity, ME",NA/NA,41500,27000,100%,27000,38400
488,The Sage Colleges,"Troy, NY",NA/NA,46500,21600,74%,23300,43200
489,Georgian Court University,"Lakewood, NJ",950/20,52200,24000,97%,25000,42700
490,Trinity College,"Hartford, CT",NA/NA,73200,25100,97%,21000,55600
491,William Paterson University of New Jersey,"Wayne, NJ",990/NA,29400,16700,68%,24500,47800
492,Sarah Lawrence College,"Bronxville, NY",1290/29,72000,35300,97%,13500,47600
493,Ripon College,"Ripon, WI",1010/24,53600,22400,99%,28000,43600
494,Felician University,"Lodi, NJ",900/19,51800,19000,83%,25000,51500
495,Catholic University of America,"Washington, DC",NA/NA,64000,38700,98%,26100,52800
496,West Virginia University,"Morgantown, WV",1020/24,23000,11600,70%,24000,50800
497,Emmanuel College,"Boston, MA",1120/25,58200,34200,100%,27000,46700
498,Franciscan University of Steubenville,"Steubenville, OH",1170/25,38700,28300,99%,22000,44400
499,Butler University,"Indianapolis, IN",1160/28,58100,35700,98%,27000,48900
500,Southwestern University,"Georgetown, TX",1170/26,55600,27500,99%,26900,50300
501,Valparaiso University,"Valparaiso, IN",1100/26,54300,24300,100%,27000,50700
501,Baylor University,"Waco, TX",1220/28,61700,39000,97%,25000,51600
501,Point Loma Nazarene University,"San Diego, CA",1140/26,51000,32200,94%,25000,48300
504,North Central College,"Naperville, IL",1080/25,52500,26000,100%,25000,47200
504,University of Tulsa,"Tulsa, OK",1250/30,60900,29300,36%,27000,55800
506,Covenant College,"Lookout Mountain, GA",1180/27,47000,26600,99%,21500,41700
507,Simpson College,"Indianola, IA",1080/24,51400,25100,98%,27000,46500
508,Agnes Scott College,"Decatur, GA",NA/NA,55400,22900,100%,27000,42900
509,SUNY at Fredonia,"Fredonia, NY",1010/25,24200,17800,74%,25000,41800
510,Christopher Newport University,"Newport News, VA",1160/26,30400,24300,65%,25000,47300
511,St Francis College,"Brooklyn Heights, NY",930/21,45600,15900,98%,24400,49300
512,University of Mississippi,"Oxford, MS",1120/26,25400,15800,85%,20000,45700
513,Creighton University,"Omaha, NE",1170/27,54700,32600,96%,25300,50000
514,Northwestern College,"Orange City, IA",1040/25,44700,24300,96%,25100,42200
515,The College of Saint Rose,"Albany, NY",NA/NA,48400,25000,81%,23500,41700
516,Walsh University,"North Canton, OH",1000/22,44200,21700,80%,27800,44900
517,Ohio Wesleyan University,"Delaware, OH",NA/NA,61800,30000,100%,27000,47800
518,University of Wisconsin-Stevens Point,"Stevens Point, WI",NA/23,19400,13500,74%,24400,43000
519,Saint Ambrose University,"Davenport, IA",NA/23,45900,25800,99%,25800,44500
520,University of Hawaii at Manoa,"Honolulu, HI",1080/23,30200,14500,94%,18800,48600
521,Northern State University,"Aberdeen, SD",960/21,21800,15400,83%,24400,41700
522,Mount St Mary's University,"Emmitsburg, MD",1050/22,57400,32700,99%,26000,46400
523,University of North Carolina Wilmington,"Wilmington, NC",1200/24,25200,17400,92%,20500,43400
524,Oberlin College,"Oberlin, OH",1350/31,73000,45200,99%,26600,49400
524,Earlham College,"Richmond, IN",NA/NA,60100,24200,100%,26000,46000
526,Whittier College,"Whittier, CA",1030/23,62900,27500,88%,25500,47000
527,University of North Carolina at Asheville,"Asheville, NC",1150/26,20400,12400,94%,20600,40900
528,University of North Texas,"Denton, TX",1090/24,24500,11200,68%,20000,46800
529,University of the Sciences,"Philadelphia, PA",1170/26,61500,37400,68%,27000,54000
530,Grace College and Theological Seminary,"Winona Lake, IN",1050/24,34800,19400,95%,21500,41100
531,Texas A & M University-Commerce,"Commerce, TX",980/21,22200,9700,90%,20500,44200
532,Salem State University,"Salem, MA",990/22,26900,17800,NA,24000,45600
533,Carroll College,"Helena, MT",1110/25,49700,27300,99%,27000,45600
534,Nazareth College,"Rochester, NY",NA/NA,50600,30500,100%,26500,41400
535,St Bonaventure University,"Saint Bonaventure, NY",1050/24,48500,25100,100%,27000,45700
536,Robert Morris University Illinois,"Chicago, IL",NA/NA,46400,22800,91%,24500,42600
537,University of North Florida,"Jacksonville, FL",1130/24,21700,14500,64%,16000,45600
538,University of Kentucky,"Lexington, KY",1130/26,30200,19200,46%,22800,48400
538,Chapman University,"Orange, CA",1210/28,71100,43700,90%,20900,49200
540,The University of Tennessee-Knoxville,"Knoxville, TN",1150/27,31700,22300,88%,20000,48000
541,Pratt Institute-Main,"Brooklyn, NY",1170/27,66900,47500,50%,26300,49900
542,King's College,"Wilkes-Barre, PA",NA/NA,53300,27800,100%,27000,44100
543,Eastern Illinois University,"Charleston, IL",NA/21,24200,15900,75%,23700,43800
544,Hanover College,"Hanover, IN",1050/25,51700,24600,100%,27000,44800
545,Baldwin Wallace University,"Berea, OH",NA/NA,47100,24000,100%,27000,44500
546,Rhode Island School of Design,"Providence, RI",1210/27,69200,42300,91%,27000,50500
547,Shippensburg University of Pennsylvania,"Shippensburg, PA",970/21,28900,19700,74%,25000,46200
548,Alfred University,"Alfred, NY",1030/23,44700,23700,99%,27000,48600
549,University of Dallas,"Irving, TX",1170/27,56200,27100,98%,24000,49100
550,Judson University,"Elgin, IL",1070/22,43800,26500,34%,23000,41900
550,Westminster College,"Salt Lake City, UT",1110/25,48900,26400,99%,25000,48800
552,Bridgewater State University,"Bridgewater, MA",990/22,26800,16900,75%,24600,44700
553,Harding University,"Searcy, AR",1100/25,30700,19700,92%,27000,46100
554,University of Missouri-St Louis,"Saint Louis, MO",1010/24,25300,9400,82%,21000,45800
555,Wilkes University,"Wilkes-Barre, PA",1010/23,55300,26900,98%,26000,48200
555,Goldey-Beacom College,"Wilmington, DE",NA/NA,39600,16900,NA,23700,47700
557,Marian University,"Indianapolis, IN",1020/22,49100,22600,43%,27000,47600
557,Benedictine College,"Atchison, KS",1060/25,44700,26600,100%,27000,45800
559,Western Carolina University,"Cullowhee, NC",1020/23,22000,14700,91%,22000,42400
560,University of Central Missouri,"Warrensburg, MO",NA/23,20000,14600,62%,22400,44400
561,SUNY Buffalo State,"Buffalo, NY",880/20,25800,12900,90%,21400,40800
562,Robert Morris University,"Moon Township, PA",1040/24,47400,26300,98%,27000,47400
563,Geneva College,"Beaver Falls, PA",1070/25,39000,21700,100%,25300,44800
564,Coe College,"Cedar Rapids, IA",1150/25,56600,23500,100%,28100,46000
565,Reed College,"Portland, OR",1380/31,71500,29900,98%,16000,51100
566,Union University,"Jackson, TN",1160/27,53000,27700,59%,24800,44300
567,Dominican College of Blauvelt,"Orangeburg, NY",890/19,46700,21200,96%,26000,47800
567,The Master's University and Seminary,"Santa Clarita, CA",1080/25,48900,28600,97%,20500,45100
569,Cabrini University,"Radnor, PA",970/21,47900,26800,100%,26800,46000
570,George Fox University,"Newberg, OR",1080/24,50100,30000,100%,22400,49300
571,Ashland University,"Ashland, OH",1060/23,34800,22100,91%,26300,41800
571,Southern Connecticut State University,"New Haven, CT",930/21,26500,16100,66%,23300,46600
571,Keiser University-Ft Lauderdale,"Fort Lauderdale, FL",NA/NA,32200,28300,NA,25800,42500
574,New College of Florida,"Sarasota, FL",1250/29,21100,12800,92%,14900,43700
575,University of North Carolina at Greensboro,"Greensboro, NC",1040/23,21200,11200,67%,22700,41900
576,SUNY at Purchase College,"Purchase, NY",1080/24,27000,19500,98%,22500,45500
577,North Carolina A & T State University,"Greensboro, NC",930/20,18300,10300,82%,29000,49300
578,Hood College,"Frederick, MD",NA/NA,56200,25600,100%,27000,44400
579,University of Michigan-Dearborn,"Dearborn, MI",NA/25,22600,12200,78%,25800,52400
579,North Park University,"Chicago, IL",1020/21,42400,21600,NA,26300,44800
581,Centenary University,"Hackettstown, NJ",940/18,49500,23500,98%,25500,42600
582,Xavier University of Louisiana,"New Orleans, LA",1000/23,37300,18700,67%,26500,44700
583,Eastern Mennonite University,"Harrisonburg, VA",1030/24,50800,25200,99%,23500,43600
584,Gordon College,"Wenham, MA",1050/26,51100,31400,100%,27000,44700
585,The Evergreen State College,"Olympia, WA",1050/23,21900,14400,87%,17600,44500
586,The University of Montana-Western,"Dillon, MT",1060/19,18900,11600,66%,20900,35900
587,University of Louisville,"Louisville, KY",NA/26,27100,17400,90%,19700,47000
588,Emerson College,"Boston, MA",1230/28,66900,42200,88%,23500,46800
588,Notre Dame de Namur University,"Belmont, CA",910/20,55700,31000,100%,25200,53500
590,The College of Wooster,"Wooster, OH",1210/27,63400,32000,97%,26000,45800
591,California Institute of the Arts,"Valencia, CA",NA/NA,70600,54200,99%,28500,48200
592,William Jewell College,"Liberty, MO",1130/25,49100,24500,91%,25000,48200
593,Eastern Connecticut State University,"Willimantic, CT",NA/NA,27700,18300,70%,23000,46300
594,Wittenberg University,"Springfield, OH",NA/NA,53300,27200,97%,27000,48400
595,Plymouth State University,"Plymouth, NH",NA/NA,29000,22400,64%,27000,43500
596,Andrews University,"Berrien Springs, MI",1100/25,40700,23600,68%,27000,44400
597,Neumann University,"Aston, PA",890/18,47100,24300,83%,27000,48200
598,Missouri State University-Springfield,"Springfield, MO",1090/24,21600,16000,80%,22500,43000
599,Gallaudet University,"Washington, DC",890/17,38100,14600,98%,16500,41900
600,Hofstra University,"Hempstead, NY",1170/27,62700,34500,95%,23500,53000
601,Fisher College,"Boston, MA",NA/NA,52700,28200,85%,19200,42800
602,Mercer University,"Macon, GA",1200/27,52500,22200,99%,25000,46600
603,Central Michigan University,"Mount Pleasant, MI",1020/23,24700,15300,78%,27000,45000
604,Samford University,"Birmingham, AL",1130/26,47600,31700,95%,22500,45800
605,Northern Arizona University,"Flagstaff, AZ",NA/NA,27600,15800,69%,20000,46700
605,Everglades University,"Boca Raton, FL",NA/NA,27100,26800,NA,40900,44800
607,Grand View University,"Des Moines, IA",960/21,39900,20700,90%,23900,42700
608,Ouachita Baptist University,"Arkadelphia, AR",1080/25,38500,20200,99%,22500,42600
609,Washington College,"Chestertown, MD",NA/NA,62500,35100,92%,24300,49900
610,Roger Williams University,"Bristol, RI",NA/NA,54000,37900,69%,27000,50000
611,The University of Alabama,"Tuscaloosa, AL",1110/27,30100,21600,75%,23800,49000
612,Tuskegee University,"Tuskegee, AL",1000/22,40300,30600,73%,32100,50700
613,Carroll University,"Waukesha, WI",1050/24,45200,26000,100%,27000,43300
614,Eureka College,"Eureka, IL",1020/22,37600,19800,100%,25400,41600
615,Virginia Commonwealth University,"Richmond, VA",1090/24,31900,22100,68%,23300,47000
615,Western Michigan University,"Kalamazoo, MI",1010/22,25700,16600,70%,26600,48100
617,Western Illinois University,"Macomb, IL",NA/21,26500,17700,68%,24700,44100
618,University of Cincinnati-Main Campus,"Cincinnati, OH",1160/26,28800,21500,42%,23000,50700
619,Cornell College,"Mount Vernon, IA",1120/26,57300,30000,100%,27000,45200
620,St Thomas University,"Miami Gardens, FL",950/19,48300,20200,NA,22800,44400
620,Vanguard University of Southern California,"Costa Mesa, CA",930/21,47900,23400,62%,25000,45200
622,Milwaukee Institute of Art & Design,"Milwaukee, WI",NA/NA,49100,26800,99%,27000,42100
623,Kutztown University of Pennsylvania,"Kutztown, PA",980/20,27700,20800,62%,26100,42600
624,Millersville University of Pennsylvania,"Millersville, PA",1030/22,29600,20000,71%,25500,45000
624,SUNY College of Agriculture and Technology at Cobleskill,"Cobleskill, NY",1010/22,25400,15900,80%,17400,39300
626,University of the Incarnate Word,"San Antonio, TX",900/19,47900,23000,100%,27200,44200
627,Howard University,"Washington, DC",1140/25,44200,24400,63%,27000,52200
628,University of South Carolina-Upstate,"Spartanburg, SC",950/21,25500,15500,67%,22500,43500
629,East Stroudsburg University of Pennsylvania,"East Stroudsburg, PA",940/22,23500,17600,67%,25000,42700
630,College for Creative Studies,"Detroit, MI",NA/23,59200,37900,NA,27000,48200
630,Rockford University,"Rockford, IL",1080/22,44200,25000,99%,25000,44200
632,University of Alabama at Birmingham,"Birmingham, AL",1140/25,26700,17300,89%,21500,46000
633,Massachusetts College of Liberal Arts,"North Adams, MA",1010/23,25200,16100,84%,24700,41400
634,Bridgewater College,"Bridgewater, VA",1010/23,50900,21700,100%,27000,41800
635,La Roche College,"Pittsburgh, PA",920/20,43600,24100,80%,26000,41700
636,Millsaps College,"Jackson, MS",1140/26,56600,24500,100%,27000,47100
637,Abilene Christian University,"Abilene, TX",1050/24,49500,28900,99%,25300,46400
638,Hampden-Sydney College,"Hampden-Sydney, VA",1120/25,61800,35700,100%,27000,54800
639,California Baptist University,"Riverside, CA",980/22,47100,27800,75%,27000,43300
640,Mercy College,"Dobbs Ferry, NY",NA/NA,38200,17200,87%,23700,44300
641,Alma College,"Alma, MI",1030/24,53700,23100,99%,27000,45700
641,Southern Wesleyan University,"Central, SC",NA/NA,37700,16000,100%,27000,41600
643,California University of Pennsylvania,"California, PA",920/19,27000,19100,83%,25000,41700
644,Hendrix College,"Conway, AR",1230/29,61500,24500,100%,27000,45800
644,Cleveland Institute of Art,"Cleveland, OH",1120/23,58600,32900,100%,29000,44000
646,Springfield College,"Springfield, MA",1010/26,54000,30500,100%,24500,42300
647,Hampton University,"Hampton, VA",950/22,41500,26200,95%,27000,49500
648,Caldwell University,"Caldwell, NJ",960/21,51400,20400,98%,25800,44300
649,Claflin University,"Orangeburg, SC",890/19,33400,18500,95%,32200,35100
650,La Sierra University,"Riverside, CA",910/19,46500,25100,100%,30000,46200
651,Old Dominion University,"Norfolk, VA",1010/22,26200,16300,76%,23500,47200
652,Georgia State University,"Atlanta, GA",1070/23,26600,15600,73%,23700,47300
653,Georgia College and State University,"Milledgeville, GA",1130/24,28800,21200,40%,22000,43300
654,Whitworth University,"Spokane, WA",1130/26,59200,29900,99%,26000,46800
654,Minneapolis College of Art and Design,"Minneapolis, MN",1070/23,50900,29200,99%,25800,43300
656,Columbus College of Art and Design,"Columbus, OH",NA/NA,50300,25200,99%,27000,42000
657,Goucher College,"Baltimore, MD",NA/NA,61200,34500,100%,26000,47100
658,Siena Heights University,"Adrian, MI",NA/NA,39800,18800,NA,17700,42500
659,Berry College,"Mount Berry, GA",1150/27,51800,26600,100%,23000,42000
660,College of Charleston,"Charleston, SC",1100/25,30400,20300,67%,21500,44100
661,SUNY College at Potsdam,"Potsdam, NY",NA/NA,24700,15300,83%,25000,40600
662,California College of the Arts,"San Francisco, CA",NA/NA,66500,41100,100%,28000,52500
663,Spring Arbor University,"Spring Arbor, MI",1020/22,40900,19800,99%,24000,39800
664,Brenau University,"Gainesville, GA",950/22,46000,21100,98%,27000,42600
665,Chaminade University of Honolulu,"Honolulu, HI",970/21,42500,20000,93%,22500,43200
666,Cumberland University,"Lebanon, TN",930/21,37100,22300,47%,21700,43200
667,Alverno College,"Milwaukee, WI",NA/NA,41400,20300,99%,31700,44200
668,Carthage College,"Kenosha, WI",1030/24,58600,29600,100%,27000,46200
669,Bennington College,"Bennington, VT",NA/NA,72500,39800,99%,26000,45800
670,Maryland Institute College of Art,"Baltimore, MD",1160/25,64400,45000,NA,27000,45300
671,Westminster College,"Fulton, MO",1020/24,41500,22100,100%,26400,47200
672,Western Kentucky University,"Bowling Green, KY",980/23,22000,12300,63%,24300,43100
673,SUNY College of Technology at Delhi,"Delhi, NY",NA/NA,24800,15000,NA,15300,41300
673,Mansfield University of Pennsylvania,"Mansfield, PA",960/21,29400,18300,69%,27000,41800
673,Spalding University,"Louisville, KY",990/21,37700,22400,NA,25000,44000
676,Thomas College,"Waterville, ME",NA/NA,40700,22100,99%,27000,44200
677,Asbury University,"Wilmore, KY",1120/25,41500,25500,69%,25900,37400
678,Mercyhurst University,"Erie, PA",NA/NA,53000,23200,100%,26700,42200
679,Stetson University,"DeLand, FL",NA/NA,62800,27100,99%,27000,44100
680,Rollins College,"Winter Park, FL",NA/NA,69400,38400,100%,26000,45700
681,Florida Agricultural and Mechanical University,"Tallahassee, FL",990/22,23400,14100,86%,28500,45900
682,Ringling College of Art and Design,"Sarasota, FL",NA/NA,67100,47700,100%,27000,45000
683,Georgia Southern University,"Statesboro, GA",1110/24,23400,17300,82%,23000,46300
684,Eastern University,"Saint Davids, PA",1040/21,49400,24600,85%,26500,42700
685,Morehouse College,"Atlanta, GA",980/22,49900,33700,83%,27000,52100
686,Champlain College,"Burlington, VT",1130/25,59400,41200,96%,26600,48800
687,Roanoke College,"Salem, VA",1090/24,60800,32200,98%,27000,45200
688,Bluffton University,"Bluffton, OH",NA/22,47300,27000,99%,27000,39200
689,Davenport University,"Grand Rapids, MI",NA/NA,31400,18000,NA,26800,43700
690,Belmont University,"Nashville, TN",1150/27,52000,37200,88%,21800,44000
691,Bowling Green State University-Main Campus,"Bowling Green, OH",1030/22,25200,18600,82%,26000,44500
691,Johnson & Wales University-Providence,"Providence, RI",NA/NA,50400,30300,86%,26900,44500
693,Mills College,"Oakland, CA",1080/26,65300,29700,92%,23500,47300
694,Ohio University-Main Campus,"Athens, OH",1100/24,27900,23500,77%,20500,48300
695,Indiana University of Pennsylvania-Main Campus,"Indiana, PA",950/20,28000,18500,67%,27000,44200
696,Winthrop University,"Rock Hill, SC",1020/23,28900,17900,91%,27000,41600
697,North Carolina Central University,"Durham, NC",880/18,22700,11600,83%,31000,41600
698,Edinboro University of Pennsylvania,"Edinboro, PA",950/20,26000,15400,93%,27000,40200
699,Point Park University,"Pittsburgh, PA",1000/23,45800,23900,99%,27000,42500
700,Kansas City Art Institute,"Kansas City, MO",1090/23,55800,31100,100%,27000,41600
701,Guilford College,"Greensboro, NC",NA/NA,52000,28600,86%,26600,40800
702,Upper Iowa University,"Fayette, IA",870/21,45300,25100,85%,24000,43100
703,Virginia State University,"Petersburg, VA",820/17,23100,16400,80%,29500,42600
704,Tiffin University,"Tiffin, OH",NA/NA,38700,22500,97%,26100,42600
705,Birmingham Southern College,"Birmingham, AL",1090/26,53700,26400,68%,26900,45600
706,Olivet College,"Olivet, MI",1030/21,40900,22500,93%,27000,43300
707,Eckerd College,"Saint Petersburg, FL",1110/25,60600,36000,99%,27000,45300
708,Wilmington College,"Wilmington, OH",920/21,39400,25000,96%,27000,41500
709,School of the Art Institute of Chicago,"Chicago, IL",1130/25,68900,46700,99%,25700,44700
710,Marywood University,"Scranton, PA",1030/NA,51500,25300,100%,27000,41000
711,Southwestern Assemblies of God University,"Waxahachie, TX",920/22,35300,27300,92%,26300,38000
712,Liberty University,"Lynchburg, VA",1070/25,39300,26600,99%,24200,41300
713,Savannah College of Art and Design,"Savannah, GA",1070/24,57700,43900,96%,27000,43600
713,Lincoln University,"Lincoln University, PA",840/17,28000,18800,99%,31500,47300
715,Medaille College,"Buffalo, NY",890/21,45000,15300,97%,25000,38600
716,Southern New Hampshire University,"Manchester, NH",NA/NA,51600,37600,59%,18800,45600
717,Bard College,"Annandale-On-Hudson, NY",NA/NA,72300,31500,98%,26200,48500
718,Kent State University at Kent,"Kent, OH",1060/23,26100,19500,54%,25800,43400
719,High Point University,"High Point, NC",1100/24,52300,41100,69%,22400,45100
720,Cornerstone University,"Grand Rapids, MI",1000/22,41500,21400,100%,25000,40500
721,Glenville State College,"Glenville, WV",850/19,23700,12900,87%,24000,39700
722,Delaware State University,"Dover, DE",900/19,24000,13100,70%,28500,43400
723,Hampshire College,"Amherst, MA",NA/NA,68700,36700,97%,23500,45800
724,Berklee College of Music,"Boston, MA",NA/NA,65100,44300,35%,25300,44700
725,Johnson C Smith University,"Charlotte, NC",830/17,32900,20400,95%,32100,43300
726,Tougaloo College,"Tougaloo, MS",1020/20,23400,13400,NA,35000,37100
727,Philander Smith College,"Little Rock, AR",NA/NA,26000,17200,94%,31000,34700
