rank,name,location,state,median_SAT_ACT_score,SAT,ACT,est_price_2018_19_without_aid,est_price_2018.19_with_avg._grant,percent_with_need_who_get_grants,ave_student_debt,early_career_earnings,diff_price_ecEarning,diff_price_debt,lon,lat
544,Hanover College,"Hanover, IN",IN,1050/25,1050,25,51700,24600,100,27000,44800,-6900,17800,-85.4623681,38.7192502
545,Baldwin Wallace University,"Berea, OH",OH,NA/NA,NA,NA,47100,24000,100,27000,44500,-2600,17500,-81.8478088,41.3711165
546,Rhode Island School of Design,"Providence, RI",RI,1210/27,1210,27,69200,42300,91,27000,50500,-18700,23500,-71.407492,41.826111
547,Shippensburg University of Pennsylvania,"Shippensburg, PA",PA,970/21,970,21,28900,19700,74,25000,46200,17300,21200,-77.5234365,40.0603939
548,Alfred University,"Alfred, NY",NY,1030/23,1030,23,44700,23700,99,27000,48600,3900,21600,-77.7862799,42.2554523
549,University of Dallas,"Irving, TX",TX,1170/27,1170,27,56200,27100,98,24000,49100,-7100,25100,-96.9216857,32.8481339
550,Judson University,"Elgin, IL",IL,1070/22,1070,22,43800,26500,34,23000,41900,-1900,18900,-88.2901505,42.0598247
550,Westminster College,"Salt Lake City, UT",UT,1110/25,1110,25,48900,26400,99,25000,48800,-100,23800,-91.9544836,38.8500391
552,Bridgewater State University,"Bridgewater, MA",MA,990/22,990,22,26800,16900,75,24600,44700,17900,20100,-70.9660014,41.9877398
553,Harding University,"Searcy, AR",AR,1100/25,1100,25,30700,19700,92,27000,46100,15400,19100,-91.7235465,35.245152
554,University of Missouri-St Louis,"Saint Louis, MO",MO,1010/24,1010,24,25300,9400,82,21000,45800,20500,24800,-90.30828,38.7092401
555,Wilkes University,"Wilkes-Barre, PA",PA,1010/23,1010,23,55300,26900,98,26000,48200,-7100,22200,-75.888107,41.2448632
555,Goldey-Beacom College,"Wilmington, DE",DE,NA/NA,NA,NA,39600,16900,NA,23700,47700,8100,24000,-75.6895335,39.7415725
557,Marian University,"Indianapolis, IN",IN,1020/22,1020,22,49100,22600,43,27000,47600,-1500,20600,-86.2035016,39.8146979
557,Benedictine College,"Atchison, KS",KS,1060/25,1060,25,44700,26600,100,27000,45800,1100,18800,-95.1113744,39.5731522
559,Western Carolina University,"Cullowhee, NC",NC,1020/23,1020,23,22000,14700,91,22000,42400,20400,20400,-83.1829254,35.3092494
560,University of Central Missouri,"Warrensburg, MO",MO,NA/23,NA,23,20000,14600,62,22400,44400,24400,22000,-93.7383724,38.7580823
561,SUNY Buffalo State,"Buffalo, NY",NY,880/20,880,20,25800,12900,90,21400,40800,15000,19400,-78.8818886,42.9335369
562,Robert Morris University,"Moon Township, PA",PA,1040/24,1040,24,47400,26300,98,27000,47400,0,20400,-80.2119216,40.5215511
563,Geneva College,"Beaver Falls, PA",PA,1070/25,1070,25,39000,21700,100,25300,44800,5800,19500,-80.3218472,40.7713156
564,Coe College,"Cedar Rapids, IA",IA,1150/25,1150,25,56600,23500,100,28100,46000,-10600,17900,-91.6591287,41.9884283
565,Reed College,"Portland, OR",OR,1380/31,1380,31,71500,29900,98,16000,51100,-20400,35100,-122.6303724,45.4809782
566,Union University,"Jackson, TN",TN,1160/27,1160,27,53000,27700,59,24800,44300,-8700,19500,-88.8595906,35.6773778
567,Dominican College of Blauvelt,"Orangeburg, NY",NY,890/19,890,19,46700,21200,96,26000,47800,1100,21800,-73.9498626,41.0396992
567,The Master's University and Seminary,"Santa Clarita, CA",CA,1080/25,1080,25,48900,28600,97,20500,45100,-3800,24600,-118.519341,34.38247
569,Cabrini University,"Radnor, PA",PA,970/21,970,21,47900,26800,100,26800,46000,-1900,19200,-75.3740633,40.0553552
570,George Fox University,"Newberg, OR",OR,1080/24,1080,24,50100,30000,100,22400,49300,-800,26900,-122.9667381,45.3033817
571,Ashland University,"Ashland, OH",OH,1060/23,1060,23,34800,22100,91,26300,41800,7000,15500,-82.323051,40.8619296
571,Southern Connecticut State University,"New Haven, CT",CT,930/21,930,21,26500,16100,66,23300,46600,20100,23300,-72.947462,41.332566
571,Keiser University-Ft Lauderdale,"Fort Lauderdale, FL",FL,NA/NA,NA,NA,32200,28300,NA,25800,42500,10300,16700,-80.1637775,26.1859607
574,New College of Florida,"Sarasota, FL",FL,1250/29,1250,29,21100,12800,92,14900,43700,22600,28800,-82.558703,27.384828
575,University of North Carolina at Greensboro,"Greensboro, NC",NC,1040/23,1040,23,21200,11200,67,22700,41900,20700,19200,-79.8101975,36.0689296
576,SUNY at Purchase College,"Purchase, NY",NY,1080/24,1080,24,27000,19500,98,22500,45500,18500,23000,-73.7004189,41.0470389
577,North Carolina A & T State University,"Greensboro, NC",NC,930/20,930,20,18300,10300,82,29000,49300,31000,20300,-79.7740341,36.0874382
578,Hood College,"Frederick, MD",MD,NA/NA,NA,NA,56200,25600,100,27000,44400,-11800,17400,-77.4202024,39.4213829
579,University of Michigan-Dearborn,"Dearborn, MI",MI,NA/25,NA,25,22600,12200,78,25800,52400,29800,26600,-83.233202,42.318409
579,North Park University,"Chicago, IL",IL,1020/21,1020,21,42400,21600,NA,26300,44800,2400,18500,-87.7106078,41.9747121
581,Centenary University,"Hackettstown, NJ",NJ,940/18,940,18,49500,23500,98,25500,42600,-6900,17100,-74.834384,40.8474559
582,Xavier University of Louisiana,"New Orleans, LA",LA,1000/23,1000,23,37300,18700,67,26500,44700,7400,18200,-90.107084,29.963863
583,Eastern Mennonite University,"Harrisonburg, VA",VA,1030/24,1030,24,50800,25200,99,23500,43600,-7200,20100,-78.8773972,38.4726203
584,Gordon College,"Wenham, MA",MA,1050/26,1050,26,51100,31400,100,27000,44700,-6400,17700,-70.8209286,42.5893751
585,The Evergreen State College,"Olympia, WA",WA,1050/23,1050,23,21900,14400,87,17600,44500,22600,26900,-122.9770785,47.0729029
586,The University of Montana-Western,"Dillon, MT",MT,1060/19,1060,19,18900,11600,66,20900,35900,17000,15000,-112.6388619,45.2086889
587,University of Louisville,"Louisville, KY",KY,NA/26,NA,26,27100,17400,90,19700,47000,19900,27300,-85.7585023,38.2122761
588,Emerson College,"Boston, MA",MA,1230/28,1230,28,66900,42200,88,23500,46800,-20100,23300,-71.06581,42.3522216
588,Notre Dame de Namur University,"Belmont, CA",CA,910/20,910,20,55700,31000,100,25200,53500,-2200,28300,-122.28487,37.517299
590,The College of Wooster,"Wooster, OH",OH,1210/27,1210,27,63400,32000,97,26000,45800,-17600,19800,-81.9372838,40.8114268
591,California Institute of the Arts,"Valencia, CA",CA,NA/NA,NA,NA,70600,54200,99,28500,48200,-22400,19700,-118.5668378,34.3930631
592,William Jewell College,"Liberty, MO",MO,1130/25,1130,25,49100,24500,91,25000,48200,-900,23200,-94.412117,39.2473119
593,Eastern Connecticut State University,"Willimantic, CT",CT,NA/NA,NA,NA,27700,18300,70,23000,46300,18600,23300,-72.2177529,41.721443
594,Wittenberg University,"Springfield, OH",OH,NA/NA,NA,NA,53300,27200,97,27000,48400,-4900,21400,-83.8139029,39.9365496
595,Plymouth State University,"Plymouth, NH",NH,NA/NA,NA,NA,29000,22400,64,27000,43500,14500,16500,-71.6882543,43.7595034
596,Andrews University,"Berrien Springs, MI",MI,1100/25,1100,25,40700,23600,68,27000,44400,3700,17400,-86.3626873,41.9637177
597,Neumann University,"Aston, PA",PA,890/18,890,18,47100,24300,83,27000,48200,1100,21200,-75.4401881,39.8756289
598,Missouri State University-Springfield,"Springfield, MO",MO,1090/24,1090,24,21600,16000,80,22500,43000,21400,20500,-93.2806806,37.2005546
599,Gallaudet University,"Washington, DC",DC,890/17,890,17,38100,14600,98,16500,41900,3800,25400,-76.9923875,38.908422
600,Hofstra University,"Hempstead, NY",NY,1170/27,1170,27,62700,34500,95,23500,53000,-9700,29500,-73.5994041,40.716792
601,Fisher College,"Boston, MA",MA,NA/NA,NA,NA,52700,28200,85,19200,42800,-9900,23600,-71.0741699,42.35531
602,Mercer University,"Macon, GA",GA,1200/27,1200,27,52500,22200,99,25000,46600,-5900,21600,-83.6497769,32.8288186
603,Central Michigan University,"Mount Pleasant, MI",MI,1020/23,1020,23,24700,15300,78,27000,45000,20300,18000,-84.7756364,43.5819086
604,Samford University,"Birmingham, AL",AL,1130/26,1130,26,47600,31700,95,22500,45800,-1800,23300,-86.793631,33.4647494
605,Northern Arizona University,"Flagstaff, AZ",AZ,NA/NA,NA,NA,27600,15800,69,20000,46700,19100,26700,-111.6547075,35.1851895
605,Everglades University,"Boca Raton, FL",FL,NA/NA,NA,NA,27100,26800,NA,40900,44800,17700,3900,-80.106239,26.3917512
607,Grand View University,"Des Moines, IA",IA,960/21,960,21,39900,20700,90,23900,42700,2800,18800,-93.600298,41.6207345
608,Ouachita Baptist University,"Arkadelphia, AR",AR,1080/25,1080,25,38500,20200,99,22500,42600,4100,20100,-93.0519992,34.1274257
609,Washington College,"Chestertown, MD",MD,NA/NA,NA,NA,62500,35100,92,24300,49900,-12600,25600,-76.0692262,39.2180241
610,Roger Williams University,"Bristol, RI",RI,NA/NA,NA,NA,54000,37900,69,27000,50000,-4000,23000,-71.2594597,41.6510618
611,The University of Alabama,"Tuscaloosa, AL",AL,1110/27,1110,27,30100,21600,75,23800,49000,18900,25200,-87.5391418,33.2140233
612,Tuskegee University,"Tuskegee, AL",AL,1000/22,1000,22,40300,30600,73,32100,50700,10400,18600,-85.7072853,32.430678
613,Carroll University,"Waukesha, WI",WI,1050/24,1050,24,45200,26000,100,27000,43300,-1900,16300,-88.2285112,43.0044874
614,Eureka College,"Eureka, IL",IL,1020/22,1020,22,37600,19800,100,25400,41600,4000,16200,-89.267575,40.71398
615,Virginia Commonwealth University,"Richmond, VA",VA,1090/24,1090,24,31900,22100,68,23300,47000,15100,23700,-77.4509718,37.5495048
615,Western Michigan University,"Kalamazoo, MI",MI,1010/22,1010,22,25700,16600,70,26600,48100,22400,21500,-85.6102507,42.2837336
617,Western Illinois University,"Macomb, IL",IL,NA/21,NA,21,26500,17700,68,24700,44100,17600,19400,-90.685397,40.4726649
618,University of Cincinnati-Main Campus,"Cincinnati, OH",OH,1160/26,1160,26,28800,21500,42,23000,50700,21900,27700,-84.5149504,39.1329219
619,Cornell College,"Mount Vernon, IA",IA,1120/26,1120,26,57300,30000,100,27000,45200,-12100,18200,-91.4253502,41.9269546
620,St Thomas University,"Miami Gardens, FL",FL,950/19,950,19,48300,20200,NA,22800,44400,-3900,21600,-80.2564271,25.9223793
620,Vanguard University of Southern California,"Costa Mesa, CA",CA,930/21,930,21,47900,23400,62,25000,45200,-2700,20200,-117.9016912,33.6618632
622,Milwaukee Institute of Art & Design,"Milwaukee, WI",WI,NA/NA,NA,NA,49100,26800,99,27000,42100,-7000,15100,-87.9079231,43.0309118
623,Kutztown University of Pennsylvania,"Kutztown, PA",PA,980/20,980,20,27700,20800,62,26100,42600,14900,16500,-75.7834225,40.5100878
624,Millersville University of Pennsylvania,"Millersville, PA",PA,1030/22,1030,22,29600,20000,71,25500,45000,15400,19500,-76.3527392,39.9987943
624,SUNY College of Agriculture and Technology at Cobleskill,"Cobleskill, NY",NY,1010/22,1010,22,25400,15900,80,17400,39300,13900,21900,-74.498279,42.671702
626,University of the Incarnate Word,"San Antonio, TX",TX,900/19,900,19,47900,23000,100,27200,44200,-3700,17000,-98.4676217,29.4675939
627,Howard University,"Washington, DC",DC,1140/25,1140,25,44200,24400,63,27000,52200,8000,25200,-77.0194377,38.9226843
628,University of South Carolina-Upstate,"Spartanburg, SC",SC,950/21,950,21,25500,15500,67,22500,43500,18000,21000,-81.9712719,34.9992469
629,East Stroudsburg University of Pennsylvania,"East Stroudsburg, PA",PA,940/22,940,22,23500,17600,67,25000,42700,19200,17700,-75.172533,40.9970909
630,College for Creative Studies,"Detroit, MI",MI,NA/23,NA,23,59200,37900,NA,27000,48200,-11000,21200,-83.0627864,42.3613975
630,Rockford University,"Rockford, IL",IL,1080/22,1080,22,44200,25000,99,25000,44200,0,19200,-89.0187448,42.2688933
632,University of Alabama at Birmingham,"Birmingham, AL",AL,1140/25,1140,25,26700,17300,89,21500,46000,19300,24500,-86.8064447,33.5021227
633,Massachusetts College of Liberal Arts,"North Adams, MA",MA,1010/23,1010,23,25200,16100,84,24700,41400,16200,16700,-73.1033372,42.691554
634,Bridgewater College,"Bridgewater, VA",VA,1010/23,1010,23,50900,21700,100,27000,41800,-9100,14800,-78.969386,38.378879
635,La Roche College,"Pittsburgh, PA",PA,920/20,920,20,43600,24100,80,26000,41700,-1900,15700,-80.0140875,40.5683018
636,Millsaps College,"Jackson, MS",MS,1140/26,1140,26,56600,24500,100,27000,47100,-9500,20100,-90.1782623,32.322401
637,Abilene Christian University,"Abilene, TX",TX,1050/24,1050,24,49500,28900,99,25300,46400,-3100,21100,-99.708098,32.469732
638,Hampden-Sydney College,"Hampden-Sydney, VA",VA,1120/25,1120,25,61800,35700,100,27000,54800,-7000,27800,-78.4610298,37.2403758
639,California Baptist University,"Riverside, CA",CA,980/22,980,22,47100,27800,75,27000,43300,-3800,16300,-117.4255589,33.9284053
640,Mercy College,"Dobbs Ferry, NY",NY,NA/NA,NA,NA,38200,17200,87,23700,44300,6100,20600,-73.8745391,41.0221144
641,Alma College,"Alma, MI",MI,1030/24,1030,24,53700,23100,99,27000,45700,-8000,18700,-84.6728043,43.3807565
641,Southern Wesleyan University,"Central, SC",SC,NA/NA,NA,NA,37700,16000,100,27000,41600,3900,14600,-82.7652118,34.7278305
643,California University of Pennsylvania,"California, PA",PA,920/19,920,19,27000,19100,83,25000,41700,14700,16700,-79.8841908,40.0641123
644,Hendrix College,"Conway, AR",AR,1230/29,1230,29,61500,24500,100,27000,45800,-15700,18800,-92.4420118,35.1000469
644,Cleveland Institute of Art,"Cleveland, OH",OH,1120/23,1120,23,58600,32900,100,29000,44000,-14600,15000,-81.6024146,41.5104317
646,Springfield College,"Springfield, MA",MA,1010/26,1010,26,54000,30500,100,24500,42300,-11700,17800,-72.5565631,42.1022292
647,Hampton University,"Hampton, VA",VA,950/22,950,22,41500,26200,95,27000,49500,8000,22500,-76.3343603,37.0228392
648,Caldwell University,"Caldwell, NJ",NJ,960/21,960,21,51400,20400,98,25800,44300,-7100,18500,-74.2719702,40.8339629
649,Claflin University,"Orangeburg, SC",SC,890/19,890,19,33400,18500,95,32200,35100,1700,2900,-80.8532251,33.4988288
650,La Sierra University,"Riverside, CA",CA,910/19,910,19,46500,25100,100,30000,46200,-300,16200,-117.4995321,33.9114816
651,Old Dominion University,"Norfolk, VA",VA,1010/22,1010,22,26200,16300,76,23500,47200,21000,23700,-76.3067777,36.8856104
652,Georgia State University,"Atlanta, GA",GA,1070/23,1070,23,26600,15600,73,23700,47300,20700,23600,-84.3852819,33.753068
653,Georgia College and State University,"Milledgeville, GA",GA,1130/24,1130,24,28800,21200,40,22000,43300,14500,21300,-83.2318054,33.0798884
654,Whitworth University,"Spokane, WA",WA,1130/26,1130,26,59200,29900,99,26000,46800,-12400,20800,-117.4178623,47.7548728
654,Minneapolis College of Art and Design,"Minneapolis, MN",MN,1070/23,1070,23,50900,29200,99,25800,43300,-7600,17500,-93.2746532,44.956828
656,Columbus College of Art and Design,"Columbus, OH",OH,NA/NA,NA,NA,50300,25200,99,27000,42000,-8300,15000,-82.990025,39.964885
657,Goucher College,"Baltimore, MD",MD,NA/NA,NA,NA,61200,34500,100,26000,47100,-14100,21100,-76.596545,39.408765
658,Siena Heights University,"Adrian, MI",MI,NA/NA,NA,NA,39800,18800,NA,17700,42500,2700,24800,-84.0175653,41.9057124
659,Berry College,"Mount Berry, GA",GA,1150/27,1150,27,51800,26600,100,23000,42000,-9800,19000,-85.189199,34.290361
660,College of Charleston,"Charleston, SC",SC,1100/25,1100,25,30400,20300,67,21500,44100,13700,22600,-79.9371762,32.7836117
661,SUNY College at Potsdam,"Potsdam, NY",NY,NA/NA,NA,NA,24700,15300,83,25000,40600,15900,15600,-74.9761059,44.6643102
662,California College of the Arts,"San Francisco, CA",CA,NA/NA,NA,NA,66500,41100,100,28000,52500,-14000,24500,-122.2502897,37.8362513
663,Spring Arbor University,"Spring Arbor, MI",MI,1020/22,1020,22,40900,19800,99,24000,39800,-1100,15800,-84.554722,42.205833
664,Brenau University,"Gainesville, GA",GA,950/22,950,22,46000,21100,98,27000,42600,-3400,15600,-83.8204642,34.3043549
665,Chaminade University of Honolulu,"Honolulu, HI",HI,970/21,970,21,42500,20000,93,22500,43200,700,20700,-157.8073979,21.2905834
666,Cumberland University,"Lebanon, TN",TN,930/21,930,21,37100,22300,47,21700,43200,6100,21500,-86.2987567,36.2046241
667,Alverno College,"Milwaukee, WI",WI,NA/NA,NA,NA,41400,20300,99,31700,44200,2800,12500,-87.9636173,42.9835246
668,Carthage College,"Kenosha, WI",WI,1030/24,1030,24,58600,29600,100,27000,46200,-12400,19200,-87.8198185,42.6238133
669,Bennington College,"Bennington, VT",VT,NA/NA,NA,NA,72500,39800,99,26000,45800,-26700,19800,-73.2359361,42.9203078
670,Maryland Institute College of Art,"Baltimore, MD",MD,1160/25,1160,25,64400,45000,NA,27000,45300,-19100,18300,-76.6216339,39.307555
671,Westminster College,"Fulton, MO",MO,1020/24,1020,24,41500,22100,100,26400,47200,5700,20800,-91.9544836,38.8500391
672,Western Kentucky University,"Bowling Green, KY",KY,980/23,980,23,22000,12300,63,24300,43100,21100,18800,-86.456138,36.9853543
673,SUNY College of Technology at Delhi,"Delhi, NY",NY,NA/NA,NA,NA,24800,15000,NA,15300,41300,16500,26000,-74.9241128,42.2704551
673,Mansfield University of Pennsylvania,"Mansfield, PA",PA,960/21,960,21,29400,18300,69,27000,41800,12400,14800,-77.070428,41.8047541
673,Spalding University,"Louisville, KY",KY,990/21,990,21,37700,22400,NA,25000,44000,6300,19000,-85.7574196,38.2414273
676,Thomas College,"Waterville, ME",ME,NA/NA,NA,NA,40700,22100,99,27000,44200,3500,17200,-69.6635795,44.5248638
677,Asbury University,"Wilmore, KY",KY,1120/25,1120,25,41500,25500,69,25900,37400,-4100,11500,-84.6648724,37.8636408
678,Mercyhurst University,"Erie, PA",PA,NA/NA,NA,NA,53000,23200,100,26700,42200,-10800,15500,-80.0536593,42.1050703
679,Stetson University,"DeLand, FL",FL,NA/NA,NA,NA,62800,27100,99,27000,44100,-18700,17100,-81.3032406,29.0349641
680,Rollins College,"Winter Park, FL",FL,NA/NA,NA,NA,69400,38400,100,26000,45700,-23700,19700,-81.348326,28.592242
681,Florida Agricultural and Mechanical University,"Tallahassee, FL",FL,990/22,990,22,23400,14100,86,28500,45900,22500,17400,-84.28754,30.4214679
682,Ringling College of Art and Design,"Sarasota, FL",FL,NA/NA,NA,NA,67100,47700,100,27000,45000,-22100,18000,-82.5476801,27.3602556
683,Georgia Southern University,"Statesboro, GA",GA,1110/24,1110,24,23400,17300,82,23000,46300,22900,23300,-81.7865347,32.4205489
684,Eastern University,"Saint Davids, PA",PA,1040/21,1040,21,49400,24600,85,26500,42700,-6700,16200,-75.3707195,40.0516866
685,Morehouse College,"Atlanta, GA",GA,980/22,980,22,49900,33700,83,27000,52100,2200,25100,-84.4138651,33.7459553
686,Champlain College,"Burlington, VT",VT,1130/25,1130,25,59400,41200,96,26600,48800,-10600,22200,-73.2041352,44.4731165
687,Roanoke College,"Salem, VA",VA,1090/24,1090,24,60800,32200,98,27000,45200,-15600,18200,-80.054927,37.294248
688,Bluffton University,"Bluffton, OH",OH,NA/22,NA,22,47300,27000,99,27000,39200,-8100,12200,-83.8991674,40.8968793
689,Davenport University,"Grand Rapids, MI",MI,NA/NA,NA,NA,31400,18000,NA,26800,43700,12300,16900,-85.530676,42.849392
690,Belmont University,"Nashville, TN",TN,1150/27,1150,27,52000,37200,88,21800,44000,-8000,22200,-86.7940699,36.1328981
691,Bowling Green State University-Main Campus,"Bowling Green, OH",OH,1030/22,1030,22,25200,18600,82,26000,44500,19300,18500,-83.6300826,41.3797788
691,Johnson & Wales University-Providence,"Providence, RI",RI,NA/NA,NA,NA,50400,30300,86,26900,44500,-5900,17600,-72.6615081,44.6400507
693,Mills College,"Oakland, CA",CA,1080/26,1080,26,65300,29700,92,23500,47300,-18000,23800,-122.1878385,37.7826845
694,Ohio University-Main Campus,"Athens, OH",OH,1100/24,1100,24,27900,23500,77,20500,48300,20400,27800,-82.1013889,39.324358
695,Indiana University of Pennsylvania-Main Campus,"Indiana, PA",PA,950/20,950,20,28000,18500,67,27000,44200,16200,17200,-79.1614669,40.6140124
696,Winthrop University,"Rock Hill, SC",SC,1020/23,1020,23,28900,17900,91,27000,41600,12700,14600,-81.0321286,34.939393
697,North Carolina Central University,"Durham, NC",NC,880/18,880,18,22700,11600,83,31000,41600,18900,10600,-78.8981013,35.974737
698,Edinboro University of Pennsylvania,"Edinboro, PA",PA,950/20,950,20,26000,15400,93,27000,40200,14200,13200,-80.1208028,41.871572
699,Point Park University,"Pittsburgh, PA",PA,1000/23,1000,23,45800,23900,99,27000,42500,-3300,15500,-80.0012691,40.4385028
700,Kansas City Art Institute,"Kansas City, MO",MO,1090/23,1090,23,55800,31100,100,27000,41600,-14200,14600,-94.5834014,39.046666
701,Guilford College,"Greensboro, NC",NC,NA/NA,NA,NA,52000,28600,86,26600,40800,-11200,14200,-79.8887399,36.0917988
702,Upper Iowa University,"Fayette, IA",IA,870/21,870,21,45300,25100,85,24000,43100,-2200,19100,-91.7996054,42.8410176
703,Virginia State University,"Petersburg, VA",VA,820/17,820,17,23100,16400,80,29500,42600,19500,13100,-77.4198721,37.2384613
704,Tiffin University,"Tiffin, OH",OH,NA/NA,NA,NA,38700,22500,97,26100,42600,3900,16500,-83.1844686,41.1185912
705,Birmingham Southern College,"Birmingham, AL",AL,1090/26,1090,26,53700,26400,68,26900,45600,-8100,18700,-86.8510103,33.5159411
706,Olivet College,"Olivet, MI",MI,1030/21,1030,21,40900,22500,93,27000,43300,2400,16300,-84.9248939,42.4431108
707,Eckerd College,"Saint Petersburg, FL",FL,1110/25,1110,25,60600,36000,99,27000,45300,-15300,18300,-82.68816,27.715886
708,Wilmington College,"Wilmington, OH",OH,920/21,920,21,39400,25000,96,27000,41500,2100,14500,-83.8181626,39.4447895
709,School of the Art Institute of Chicago,"Chicago, IL",IL,1130/25,1130,25,68900,46700,99,25700,44700,-24200,19000,-87.6249193,41.8802861
710,Marywood University,"Scranton, PA",PA,1030/NA,1030,NA,51500,25300,100,27000,41000,-10500,14000,-75.6324234,41.4351319
711,Southwestern Assemblies of God University,"Waxahachie, TX",TX,920/22,920,22,35300,27300,92,26300,38000,2700,11700,-96.8529436,32.4064143
712,Liberty University,"Lynchburg, VA",VA,1070/25,1070,25,39300,26600,99,24200,41300,2000,17100,-79.1769282,37.3529323
713,Savannah College of Art and Design,"Savannah, GA",GA,1070/24,1070,24,57700,43900,96,27000,43600,-14100,16600,-81.0940516,32.0729232
713,Lincoln University,"Lincoln University, PA",PA,840/17,840,17,28000,18800,99,31500,47300,19300,15800,-75.9273377,39.807212
715,Medaille College,"Buffalo, NY",NY,890/21,890,21,45000,15300,97,25000,38600,-6400,13600,-78.8559545,42.928608
716,Southern New Hampshire University,"Manchester, NH",NH,NA/NA,NA,NA,51600,37600,59,18800,45600,-6000,26800,-71.4531836,43.0407729
717,Bard College,"Annandale-On-Hudson, NY",NY,NA/NA,NA,NA,72300,31500,98,26200,48500,-23800,22300,-73.9100544,42.0203897
718,Kent State University at Kent,"Kent, OH",OH,1060/23,1060,23,26100,19500,54,25800,43400,17300,17600,-81.3414649,41.1490629
719,High Point University,"High Point, NC",NC,1100/24,1100,24,52300,41100,69,22400,45100,-7200,22700,-79.9953079,35.9723841
720,Cornerstone University,"Grand Rapids, MI",MI,1000/22,1000,22,41500,21400,100,25000,40500,-1000,15500,-85.5948623,42.9809156
721,Glenville State College,"Glenville, WV",WV,850/19,850,19,23700,12900,87,24000,39700,16000,15700,-80.833222,38.9348779
722,Delaware State University,"Dover, DE",DE,900/19,900,19,24000,13100,70,28500,43400,19400,14900,-75.5422735,39.1861372
723,Hampshire College,"Amherst, MA",MA,NA/NA,NA,NA,68700,36700,97,23500,45800,-22900,22300,-72.5322956,42.325559
724,Berklee College of Music,"Boston, MA",MA,NA/NA,NA,NA,65100,44300,35,25300,44700,-20400,19400,-71.0895292,42.3465952
725,Johnson C Smith University,"Charlotte, NC",NC,830/17,830,17,32900,20400,95,32100,43300,10400,11200,-80.8562124,35.2427192
726,Tougaloo College,"Tougaloo, MS",MS,1020/20,1020,20,23400,13400,NA,35000,37100,13700,2100,-90.1607274,32.4048131
727,Philander Smith College,"Little Rock, AR",AR,NA/NA,NA,NA,26000,17200,94,31000,34700,8700,3700,-92.2829693,34.7371492
